2014-12-30 10:57:37 status unpacked libplymouth2:i386 0.8.8-0ubuntu17
2014-12-30 10:57:37 status unpacked libplymouth2:i386 0.8.8-0ubuntu17
2014-12-30 10:57:37 install libpng12-0:i386 <none> 1.2.50-1ubuntu2
2014-12-30 10:57:37 status half-installed libpng12-0:i386 1.2.50-1ubuntu2
2014-12-30 10:57:37 status unpacked libpng12-0:i386 1.2.50-1ubuntu2
2014-12-30 10:57:37 status unpacked libpng12-0:i386 1.2.50-1ubuntu2
2014-12-30 10:57:37 install libprocps3:i386 <none> 1:3.3.9-1ubuntu2
2014-12-30 10:57:37 status half-installed libprocps3:i386 1:3.3.9-1ubuntu2
2014-12-30 10:57:37 status unpacked libprocps3:i386 1:3.3.9-1ubuntu2
2014-12-30 10:57:37 status unpacked libprocps3:i386 1:3.3.9-1ubuntu2
2014-12-30 10:57:37 install libselinux1:i386 <none> 2.2.2-1
2014-12-30 10:57:37 status half-installed libselinux1:i386 2.2.2-1
2014-12-30 10:57:37 status unpacked libselinux1:i386 2.2.2-1
2014-12-30 10:57:37 status unpacked libselinux1:i386 2.2.2-1
2014-12-30 10:57:37 install libsemanage-common:all <none> 2.2-1
2014-12-30 10:57:37 status half-installed libsemanage-common:all 2.2-1
2014-12-30 10:57:37 status unpacked libsemanage-common:all 2.2-1
2014-12-30 10:57:37 status unpacked libsemanage-common:all 2.2-1
2014-12-30 10:57:37 install libsemanage1:i386 <none> 2.2-1
2014-12-30 10:57:37 status half-installed libsemanage1:i386 2.2-1
2014-12-30 10:57:37 status unpacked libsemanage1:i386 2.2-1
2014-12-30 10:57:37 status unpacked libsemanage1:i386 2.2-1
2014-12-30 10:57:37 install libsepol1:i386 <none> 2.2-1
2014-12-30 10:57:37 status half-installed libsepol1:i386 2.2-1
2014-12-30 10:57:37 status unpacked libsepol1:i386 2.2-1
